Names,,,,Hours,Minutes,Seconds,RA,Sign,Degrees,Minutes,Seconds,Dec,,Abs. Mag,Distance   (parsecs),App. Mag,Star Class,,,,,,Lat Conversion,Lon Conversion,,Latitude,Longitude
RS 1234-285-1-7-49,,,,0,15,57.5,0.265972222,1,46,46,35.1,46.77641667,,-3.51,529.68,5.11,O4.2 Ib,,,,,,-46.77641667,-176.0104167,,-46.77641667,-176.0104167
RS 1234-342-1-4-23,,,,22,27,11.28,22.45313333,1,41,59,14.68,41.98741111,,-3.9,572.58,4.89,O2.9 Ib,,,,,,-41.98741111,156.797,,-41.98741111,156.797
RS 1234-340-0-0-52,,,,23,9,31.12,23.15864444,-1,-50,17,57.08,-50.29918889,,-7.18,114.51,-1.89,O3.6 IV,Subgiant:,,,,,50.29918889,167.3796667,,50.29918889,167.3796667
RS 1234-340-0-0-57,,,,14,30,20.51,14.50569722,1,37,53,44.24,37.89562222,,-5.48,383.43,2.44,O5.7 IV,73 Stars,,,,,-37.89562222,37.58545833,,-37.89562222,37.58545833
RS 1234-340-1-6-20,,,,20,49,58.65,20.83295833,1,36,47,30.19,36.79171944,,-5.22,349.05,2.49,O6 IV,,,,,,-36.79171944,132.494375,,-36.79171944,132.494375
RS 1234-285-1-3-21,,,,7,23,28.16,7.391155556,-1,-72,24,31.38,-72.40871667,,-4.96,364.33,2.85,O6.4 IV,,,,,,72.40871667,-69.13266667,,72.40871667,-69.13266667
RS 1234-287-0-0-85,,,,21,37,47.74,21.62992778,1,61,21,6.75,61.351875,,-7.33,1224.09,3.11,O3.4 IV,,,,,,-61.351875,144.4489167,,-61.351875,144.4489167
RS 1234-340-1-2-51,,,,23,58,11.6,23.96988889,-1,-51,58,0.32,-51.96675556,,-5.28,487.81,3.16,O6 IV,,,,,,51.96675556,179.5483333,,51.96675556,179.5483333
RS 1234-340-2-22-144,,,,23,8,52.65,23.14795833,-1,-62,9,8.54,-62.15237222,,-2.3,127.82,3.23,O9.7 IV,,,,,,62.15237222,167.219375,,62.15237222,167.219375
RS 1234-285-2-59-24,,,,3,17,42.21,3.295058333,1,75,21,17.37,75.354825,,-3.23,225.09,3.53,O8.5 IV,,,,,,-75.354825,-130.574125,,-75.354825,-130.574125
RS 1234-285-2-31-38,,,,0,44,44.76,0.745766667,-1,-38,56,10.02,-38.93611667,,-3.05,226.59,3.73,O8.8 IV,,,,,,38.93611667,-168.8135,,38.93611667,-168.8135
RS 1234-340-1-6-45,,,,20,35,59.96,20.59998889,1,49,32,15.15,49.53754167,,-3.82,339.89,3.84,O7.8 IV,,,,,,-49.53754167,128.9998333,,-49.53754167,128.9998333
RS 1234-340-2-22-0,,,,23,34,17.25,23.57145833,-1,-34,20,8.74,-34.33576111,,-3.12,283.75,4.14,O8.7 IV,,,,,,34.33576111,173.571875,,34.33576111,173.571875
RS 1234-340-1-2-14,,,,0,7,59.48,0.133188889,-1,-44,43,17.4,-44.7215,,-4.16,474.65,4.22,O7.4 IV,,,,,,44.7215,-178.0021667,,44.7215,-178.0021667
RS 1234-285-2-57-52,,,,10,7,33.31,10.12591944,1,30,33,22.2,30.55616667,,-2.41,222.93,4.33,O9.6 IV,,,,,,-30.55616667,-28.11120833,,-30.55616667,-28.11120833
RS 1234-285-1-3-66,,,,4,1,40.33,4.027869444,-1,-40,33,44.64,-40.5624,,-3.78,419.59,4.33,O7.8 IV,,,,,,40.5624,-119.5819583,,40.5624,-119.5819583
RS 1234-285-2-57-58,,,,8,43,5.42,8.718172222,1,5,39,13.58,5.653772222,,-3.25,349.54,4.47,O8.5 IV,,,,,,-5.653772222,-49.22741667,,-5.653772222,-49.22741667
RS 1234-285-1-3-6,,,,23,47,9.59,23.78599722,-1,-27,16,22.46,-27.27290556,,-3.7,433.61,4.49,O7.9 IV,,,,,,27.27290556,176.7899583,,27.27290556,176.7899583
RS 1234-285-2-59-78,,,,23,8,59.46,23.14985,1,75,42,36.27,75.710075,,-2.27,226.43,4.50,O9.7 IV,,,,,,-75.710075,167.24775,,-75.710075,167.24775
RS 1234-342-0-0-85,,,,22,40,28.79,22.67466389,1,21,14,58.78,21.24966111,,-7.11,2125.19,4.53,O3.7 IV,,,,,,-21.24966111,160.1199583,,-21.24966111,160.1199583
RS 1234-285-1-3-58,,,,7,20,0.69,7.333525,-1,-63,21,55.07,-63.36529722,,-4.88,847.82,4.76,O6.5 IV,,,,,,63.36529722,-69.997125,,63.36529722,-69.997125
RS 1234-340-1-2-11,,,,22,2,7.52,22.03542222,-1,-51,33,33.61,-51.55933611,,-3.42,446.84,4.83,O8.3 IV,,,,,,51.55933611,150.5313333,,51.55933611,150.5313333
RS 1234-285-2-31-137,,,,7,8,13.4,7.137055556,-1,-63,22,10.18,-63.36949444,,-2.91,375.04,4.96,O8.9 IV,,,,,,63.36949444,-72.94416667,,63.36949444,-72.94416667
RS 1234-285-2-31-64,,,,1,39,424.42,1.767894444,1,7,19,38.81,7.327447222,,-3.22,433.54,4.97,O8.5 IV,,,,,,-7.327447222,-153.4815833,,-7.327447222,-153.4815833
RS 1234-340-2-50-8,,,,22,28,22.2,22.47283333,1,17,39,54.5,17.66513889,,-2.12,266.2,5.01,O9.9 IV,,,,,,-17.66513889,157.0925,,-17.66513889,157.0925
RS 1234-340-2-48-72,,,,13,27,57.91,13.46608611,1,50,45,27.57,50.75765833,,-2.75,360.36,5.03,O9.1 IV,,,,,,-50.75765833,21.99129167,,-50.75765833,21.99129167
RS 1234-285-1-7-41,,,,22,42,43.32,22.71203333,1,54,13,38.56,54.22737778,,-3.49,510.26,5.05,O8.2 IV,,,,,,-54.22737778,160.6805,,-54.22737778,160.6805
RS 1234-285-2-31-95,,,,0,2,12.08,0.036688889,-1,-21,46,4.77,-21.76799167,,-2.18,282.96,5.08,O9.8 IV,,,,,,21.76799167,-179.4496667,,21.76799167,-179.4496667
RS 1234-281-1-7-66,,,,1,28,57.02,1.482505556,-1,-63,30,52.64,-63.51462222,,-5.28,1189.87,5.10,O6 IV,,,,,,63.51462222,-157.7624167,,63.51462222,-157.7624167
RS 1234-340-2-50-71,,,,18,27,4.35,18.45120833,1,42,55,19.41,42.92205833,,-2.6,347.05,5.10,O9.3 IV,,,,,,-42.92205833,96.768125,,-42.92205833,96.768125
RS 1234-285-1-3-47,,,,3,58,51.05,3.980847222,-1,-61,41,45.35,-61.69593056,,-5.23,1170.25,5.11,O6 IV,,,,,,61.69593056,-120.2872917,,61.69593056,-120.2872917
RS 1234-340-2-50-60,,,,21,20,58.29,21.349525,1,28,50,55.37,28.84871389,,-2.75,382.45,5.16,O9.1 IV,,,,,,-28.84871389,140.242875,,-28.84871389,140.242875
RS 1234-342-1-0-65,,,,22,35,30.99,22.59194167,-1,-16,14,59.06,-16.24973889,,-4.09,715.78,5.18,O7.5 IV,,,,,,16.24973889,158.879125,,16.24973889,158.879125
RS 1234-340-2-22-145,,,,10,24,4.75,10.40131944,-1,-74,12,56.71,-74.21575278,,-2.49,356.06,5.27,O9.5 IV,,,,,,74.21575278,-23.98020833,,74.21575278,-23.98020833
RS 1234-285-2-29-6,,,,8,56,8.19,8.935608333,-1,-60,57,12.65,-60.95351389,,-3.19,524.4,5.41,O8.6 IV,,,,,,60.95351389,-45.965875,,60.95351389,-45.965875
RS 1234-285-2-59-46,,,,0,38,28.6,0.641277778,1,39,12,44.01,39.212225,,-2.89,474.41,5.49,O9 IV,,,,,,-39.212225,-170.3808333,,-39.212225,-170.3808333
RS 1234-340-2-22-72,,,,23,29,15.64,23.48767778,-1,-63,54,32.07,-63.90890833,,-3.23,581.26,5.59,O8.5 IV,,,,,,63.90890833,172.3151667,,63.90890833,172.3151667
RS 1234-340-1-2-54,,,,11,31,24.22,11.52339444,-1,-20,49,1.62,-20.81711667,,-3.67,717.74,5.61,O8 IV,,,,,,20.81711667,-7.149083333,,20.81711667,-7.149083333
RS 1234-340-2-22-117,,,,22,7,10.99,22.11971944,-1,-8,16,54.14,-8.281705556,,-2.53,430.02,5.64,O9.4 IV,,,,,,8.281705556,151.7957917,,8.281705556,151.7957917
RS 1234-340-2-50-89,,,,21,9,3.93,21.15109167,1,48,16,11.78,48.26993889,,-2.21,371.5,5.64,O9.8 IV,,,,,,-48.26993889,137.266375,,-48.26993889,137.266375
RS 1234-340-2-50-36,,,,16,31,39.1,16.52752778,1,62,22,13.17,62.370325,,-2.35,403.54,5.68,O9.6 IV,,,,,,-62.370325,67.91291667,,-62.370325,67.91291667
RS 1234-285-2-59-35,,,,2,13,47.85,2.229958333,1,87,25,5.86,87.41829444,,-2.19,379.71,5.71,O9.8 IV,,,,,,-87.41829444,-146.550625,,-87.41829444,-146.550625
RS 1234-281-1-7-24,,,,2,45,21.37,2.755936111,-1,-73,34,26.15,-73.57393056,,-4.94,1352.25,5.72,O6.4 IV,,,,,,73.57393056,-138.6609583,,73.57393056,-138.6609583
RS 1234-340-2-22-107,,,,22,53,5.51,22.88486389,-1,-53,53,20.6,-53.88905556,,-3.28,659.45,5.82,O8.5 IV,,,,,,53.88905556,163.2729583,,53.88905556,163.2729583
RS 1234-342-1-4-5,,,,22,13,33.59,22.22599722,1,13,34,32.87,13.57579722,,-4.53,1177.37,5.82,O6.9 IV,,,,,,-13.57579722,153.3899583,,-13.57579722,153.3899583
RS 1234-285-2-31-14,,,,1,38,4.31,1.634530556,-1,-63,35,18.84,-63.58856667,,-2.61,488.36,5.83,O9.3 IV,,,,,,63.58856667,-155.4820417,,63.58856667,-155.4820417
RS 1234-285-1-1-24,,,,10,22,51.01,10.38083611,-1,-35,56,20.31,-35.938975,,-4.99,1477.32,5.86,O6.3 IV,,,,,,35.938975,-24.28745833,,35.938975,-24.28745833
RS 1234-287-2-13-108,,,,23,55,35.37,23.92649167,-1,-12,15,10.91,-12.25303056,,-3.35,702.18,5.88,O8.4 IV,,,,,,12.25303056,178.897375,,12.25303056,178.897375
RS 1234-340-1-2-75,,,,11,11,36.09,11.19335833,-1,-50,6,13.83,-50.10384167,,-3.77,860.13,5.90,O7.9 IV,,,,,,50.10384167,-12.099625,,50.10384167,-12.099625
RS 1234-285-1-7-25,,,,13,0,33.04,13.00917778,1,74,41,49.83,74.697175,,-3.67,827.91,5.92,O8 IV,,,,,,-74.697175,15.13766667,,-74.697175,15.13766667
RS 1234-285-2-57-69,,,,10,17,36.27,10.29340833,1,50,23,52.75,50.39798611,,-2.47,481.03,5.94,O9.5 IV,,,,,,-50.39798611,-25.598875,,-50.39798611,-25.598875
RS 1234-285-2-59-58,,,,1,36,54.67,1.615186111,1,60,25,48.06,60.43001667,,-2.28,452.18,6.00,O9.7 IV,,,,,,-60.43001667,-155.7722083,,-60.43001667,-155.7722083
RS 1234-285-2-29-28,,,,8,7,45.88,8.129411111,-1,-49,40,20.6,-49.67238889,,-3.27,730.04,6.05,O8.5 IV,,,,,,49.67238889,-58.05883333,,49.67238889,-58.05883333
RS 1234-342-2-32-67,,,,22,28,38.37,22.477325,1,35,53,25.12,35.89031111,,-2.81,594.6,6.06,O9.1 IV,,,,,,-35.89031111,157.159875,,-35.89031111,157.159875
RS 1234-340-2-18-107,,,,0,42,22.98,0.706383333,-1,-82,33,57.51,-82.565975,,-2.82,599.11,6.07,O9 IV,,,,,,82.565975,-169.40425,,82.565975,-169.40425
RS 1234-287-2-13-93,,,,0,4,47.74,0.079927778,-1,-29,2,53.59,-29.04821944,,-3.35,765.13,6.07,O8.4 IV,,,,,,29.04821944,-178.8010833,,29.04821944,-178.8010833
RS 1234-285-2-31-6,,,,0,8,21.81,0.139391667,-1,-29,49,56.58,-29.83238333,,-2.38,502.95,6.13,O9.6 IV,,,,,,29.83238333,-177.909125,,29.83238333,-177.909125
RS 1234-342-1-0-11,,,,23,15,18.35,23.25509722,-1,-33,48,21.6,-33.806,,-4.03,1082.1,6.14,O7.5 IV,,,,,,33.806,168.8264583,,33.806,168.8264583
RS 1234-281-1-7-33,,,,6,33,42.25,6.561736111,-1,-74,21,26.5,-74.35736111,,-5.22,1893.9,6.17,O6 IV,,,,,,74.35736111,-81.57395833,,74.35736111,-81.57395833
RS 1234-340-2-54-7,,,,19,39,8.09,19.65224722,1,50,51,3.11,50.85086389,,-3.28,775.73,6.17,O8.5 IV,,,,,,-50.85086389,114.7837083,,-50.85086389,114.7837083
RS 1234-342-1-4-58,,,,21,56,59.88,21.94996667,1,42,3,4.14,42.05115,,-3.47,863.16,6.21,O8.2 IV,,,,,,-42.05115,149.2495,,-42.05115,149.2495
RS 1234-285-2-25-10,,,,9,41,30.24,9.691733333,-1,-48,55,21.67,-48.92268611,,-3.29,824.86,6.29,O8.5 IV,,,,,,48.92268611,-34.624,,48.92268611,-34.624
RS 1234-340-2-54-62,,,,19,13,34.62,19.22628333,1,58,38,35.38,58.64316111,,-3.15,774.26,6.29,O8.6 IV,,,,,,-58.64316111,108.39425,,-58.64316111,108.39425
RS 1234-342-0-0-100,,,,22,44,27.56,22.74098889,1,27,29,35.18,27.49310556,,-5.53,2318.13,6.30,O5.7 IV,,,,,,-27.49310556,161.1148333,,-27.49310556,161.1148333
RS 1234-287-1-1-20,,,,1,3,15.7,1.054361111,-1,-48,55,52.59,-48.931275,,-3.83,1061.03,6.30,O7.8 IV,,,,,,48.931275,-164.1845833,,48.931275,-164.1845833
RS 1234-285-1-1-54,,,,10,38,4.88,10.63468889,-1,-29,56,36.84,-29.94356667,,-3.75,1032.55,6.32,O7.9 IV,,,,,,29.94356667,-20.47966667,,29.94356667,-20.47966667
RS 1234-285-2-27-105,,,,3,26,19.13,3.438647222,-1,-59,1,23.77,-59.02326944,,-2.7,637.66,6.32,O9.2 IV,,,,,,59.02326944,-128.4202917,,59.02326944,-128.4202917
RS 1234-340-2-22-47,,,,23,44,39.94,23.74442778,-1,-45,4,21.35,-45.07259722,,-2.47,587.47,6.37,O9.5 IV,,,,,,45.07259722,176.1664167,,45.07259722,176.1664167
RS 1234-336-1-6-12,,,,8,11,11.36,8.186488889,-1,-76,16,58.21,-76.28283611,,-4.71,1677.72,6.41,O6.7 IV,,,,,,76.28283611,-57.20266667,,76.28283611,-57.20266667
RS 1234-285-1-3-27,,,,2,42,47.69,2.713247222,-1,-59,32,26.46,-59.54068333,,-3.68,1073.31,6.47,O8 IV,,,,,,59.54068333,-139.3012917,,59.54068333,-139.3012917
RS 1234-287-1-7-0,,,,23,17,45.49,23.29596944,1,17,46,9.85,17.76940278,,-5.13,2115.13,6.50,O6.2 IV,,,,,,-17.76940278,169.4395417,,-17.76940278,169.4395417
RS 1234-340-2-18-93,,,,0,21,11.47,0.353186111,-1,-54,58,6.75,-54.96854167,,-2.31,658.47,6.78,O9.1 IV,,,,,,54.96854167,-174.7022083,,54.96854167,-174.7022083
RS 1234-285-2-31-54,,,,6,2,26.27,6.040630556,-1,-71,41,48.52,-71.69681111,,-2.48,584.45,6.353736815,O9.5 IV,,,,,,71.69681111,-89.39054167,,71.69681111,-89.39054167
RS 1234-340-2-22-51,,,,23,44,25.18,23.74032778,-1,-32,26,2.45,-32.43401389,,-3.32,475.26,5.064656318,O8.4 IV,,,,,,32.43401389,176.1049167,,32.43401389,176.1049167
RS 1234-340-1-0-25,,,,11,38,16.37,11.63788056,-1,-18,15,6.87,-18.25190833,,-4.77,982.7,5.19210478,O6.6 IV,,,,,,18.25190833,-5.431791667,,18.25190833,-5.431791667
RS 1234-340-1-2-73,,,,3,45,50.7,3.764083333,-1,-80,12,0.51,-80.20014167,,-3.8,585.39,5.037226496,O7.8 V,Main Sequence:,,,,,80.20014167,-123.53875,,80.20014167,-123.53875
RS 1234-340-2-22-11,,,,6,21,59.09,6.366413889,-1,-80,25,20.76,-80.42243333,,-2.94,457.41,5.361528275,O8.9 V,1288 Stars,,,,,80.42243333,-84.50379167,,80.42243333,-84.50379167
RS 1234-340-2-22-138,,,,3,42,13.14,3.70365,-1,-81,34,9.17,-81.56921389,,-2.45,534.62,6.190226008,O9.5 V,,,,,,81.56921389,-124.44525,,81.56921389,-124.44525
RS 1234-340-1-2-42,,,,3,43,4.46,3.717905556,-1,-82,26,30.23,-82.44173056,,-4.82,446.92,3.43114895,O6.5 V,,,,,,82.44173056,-124.2314167,,82.44173056,-124.2314167
RS 1234-340-2-22-48,,,,2,45,33.87,2.759408333,-1,-81,56,38.16,-81.94393333,,-2.71,395.31,5.274689003,O9.2 V,,,,,,81.94393333,-138.608875,,81.94393333,-138.608875
RS 1234-336-1-6-7,,,,6,52,6.93,6.868591667,-1,-82,41,59.24,-82.69978889,,-5.28,1901.85,6.115881304,O6 V,,,,,,82.69978889,-76.971125,,82.69978889,-76.971125
RS 1234-340-1-2-57,,,,5,13,29.2,5.224777778,-1,-84,49,49.7,-84.83047222,,-4.03,540.49,4.633938316,O7.5 V,,,,,,84.83047222,-101.6283333,,84.83047222,-101.6283333
RS 1234-340-2-22-8,,,,4,29,28.43,4.491230556,-1,-86,8,28.48,-86.14124444,,-2.15,501.79,6.352610011,O9.9 V,,,,,,86.14124444,-112.6315417,,86.14124444,-112.6315417
RS 1234-340-1-2-17,,,,3,9,59.43,3.166508333,-1,-85,7,54.45,-85.13179167,,-4.79,860.43,4.883577721,O6.6 V,,,,,,85.13179167,-132.502375,,85.13179167,-132.502375
RS 1234-340-1-2-67,,,,0,8,4.26,0.134516667,-1,-84,30,21.7,-84.50602778,,-3.82,487.57,4.620184879,O7.8 V,,,,,,84.50602778,-177.98225,,84.50602778,-177.98225
RS 1234-340-1-2-65,,,,9,51,51.53,9.864313889,-1,-83,43,27.45,-83.72429167,,-4.78,338.72,2.869204203,O6.6 V,,,,,,83.72429167,-32.03529167,,83.72429167,-32.03529167
RS 1234-336-1-6-30,,,,10,16,38.83,10.27745278,-1,-81,57,29,-81.95805556,,-5.24,1746.99,5.971452095,O6 V,,,,,,81.95805556,-25.83820833,,81.95805556,-25.83820833
RS 1234-340-1-2-61,,,,21,53,36.36,21.89343333,-1,-81,43,51.13,-81.73086944,,-4.42,153.88,1.515910888,O7 V,,,,,,81.73086944,148.4015,,81.73086944,148.4015
RS 1234-340-2-22-137,,,,20,26,22.62,20.43961667,-1,-84,5,57.64,-84.09934444,,-2.52,167.17,3.595791712,O9.4 V,,,,,,84.09934444,126.59425,,84.09934444,126.59425
RS 1234-340-2-22-44,,,,17,8,30.07,17.14168611,-1,-84,57,18.74,-84.95520556,,-2.42,366.98,5.403211982,O9.5 V,,,,,,84.95520556,77.12529167,,84.95520556,77.12529167
RS 1234-340-1-2-23,,,,20,46,10.88,20.76968889,-1,-81,17,38.57,-81.29404722,,-3.41,523.22,5.183421682,O8.3 V,,,,,,81.29404722,131.5453333,,81.29404722,131.5453333
RS 1234-340-2-22-61,,,,11,35,46.08,11.59613333,-1,-80,31,23.86,-80.52329444,,-2.72,433.27,5.463793096,O9.2 V,,,,,,80.52329444,-6.058,,80.52329444,-6.058
RS 1234-340-1-2-43,,,,9,26,59.23,9.449786111,-1,-79,9,11.39,-79.15316389,,-4.46,893.21,5.294767883,O7 V,,,,,,79.15316389,-38.25320833,,79.15316389,-38.25320833
RS 1234-340-1-2-36,,,,9,50,36.2,9.843388889,-1,-78,17,16,-78.28777778,,-3.78,940.3,6.086332181,O7.8 V,,,,,,78.28777778,-32.34916667,,78.28777778,-32.34916667
RS 1234-340-0-0-37,,,,8,38,31.36,8.642044444,-1,-77,45,15.72,-77.75436667,,-5.87,1142.15,4.41861572,O5.2 V,,,,,,77.75436667,-50.36933333,,77.75436667,-50.36933333
RS 1234-340-0-0-38,,,,8,18,21.92,8.306088889,-1,-76,35,31.43,-76.59206389,,-5.9,590.89,2.957533201,O5.2 V,,,,,,76.59206389,-55.40866667,,76.59206389,-55.40866667
RS 1234-340-1-2-79,,,,8,17,42.47,8.295130556,-1,-74,32,42.44,-74.54512222,,-4.04,1041.51,6.048317221,O7.5 V,,,,,,74.54512222,-55.57304167,,74.54512222,-55.57304167
RS 1234-340-1-2-47,,,,8,54,49.72,8.913811111,-1,-75,54,14.46,-75.90401667,,-4.66,379.6,3.236631019,O6.7 V,,,,,,75.90401667,-46.29283333,,75.90401667,-46.29283333
RS 1234-340-2-20-30,,,,8,46,56.08,8.782244444,-1,-74,57,7.92,-74.9522,,-2.55,590.44,6.305878858,O9.4 V,,,,,,74.9522,-48.26633333,,74.9522,-48.26633333
RS 1234-340-2-20-29,,,,8,59,55.09,8.998636111,-1,-74,8,57.61,-74.14933611,,-3.28,512.3,5.267621779,O8.5 V,,,,,,74.14933611,-45.02045833,,74.14933611,-45.02045833
RS 1234-336-1-6-25,,,,8,38,41.96,8.644988889,-1,-70,47,34.77,-70.79299167,,-5.02,1820.39,6.280822206,O6.3 V,,,,,,70.79299167,-50.32516667,,70.79299167,-50.32516667
RS 1234-340-2-22-63,,,,9,21,22.46,9.356238889,-1,-72,9,5.22,-72.15145,,-2.84,321.87,4.6984025,O9 V,,,,,,72.15145,-39.65641667,,72.15145,-39.65641667
RS 1234-340-1-2-19,,,,9,41,48.86,9.696905556,-1,-70,13,56.87,-70.23246389,,-4.4,1003.15,5.606829387,O7.1 V,,,,,,70.23246389,-34.54641667,,70.23246389,-34.54641667
RS 1234-340-2-20-47,,,,10,23,1.27,10.38368611,-1,-74,2,29.76,-74.0416,,-2.8,631.12,6.200559715,O9.1 V,,,,,,74.0416,-24.24470833,,74.0416,-24.24470833
RS 1234-340-1-2-4,,,,11,37,9.34,11.61926111,-1,-75,14,46.53,-75.24625833,,-4.36,1128.36,5.902238411,O7.1 V,,,,,,75.24625833,-5.711083333,,75.24625833,-5.711083333
RS 1234-340-1-2-72,,,,12,52,49.45,12.88040278,-1,-77,22,26.99,-77.37416389,,-4.06,969.53,5.87280626,O7.5 V,,,,,,77.37416389,13.20604167,,77.37416389,13.20604167
RS 1234-340-2-22-14,,,,13,23,50.17,13.39726944,-1,-76,27,0.53,-76.45014722,,-2.64,425.23,5.503119482,O9.3 V,,,,,,76.45014722,20.95904167,,76.45014722,20.95904167
RS 1234-340-1-2-35,,,,13,54,30.91,13.90858611,-1,-77,6,14.66,-77.10407222,,-4.78,1168.69,5.55849664,O6.6 V,,,,,,77.10407222,28.62879167,,77.10407222,28.62879167
RS 1234-340-2-20-5,,,,13,38,3.35,13.63426389,-1,-72,35,19.9,-72.58886111,,-2.95,616.95,6.001249843,O8.9 V,,,,,,72.58886111,24.51395833,,72.58886111,24.51395833
RS 1234-340-2-22-66,,,,17,2,45.92,17.04608889,-1,-76,35,35.33,-76.59314722,,-3.19,282.2,4.062785047,O8.6 V,,,,,,76.59314722,75.69133333,,76.59314722,75.69133333
RS 1234-340-2-22-74,,,,17,13,27.39,17.224275,-1,-74,55,41.33,-74.92814722,,-2.95,295.35,4.401684876,O8.9 V,,,,,,74.92814722,78.364125,,74.92814722,78.364125
RS 1234-340-2-22-19,,,,18,28,51.19,18.48088611,-1,-78,46,54.86,-78.78190556,,-2.74,403.41,5.288733298,O9.1 V,,,,,,78.78190556,97.21329167,,78.78190556,97.21329167
RS 1234-340-2-22-20,,,,20,18,25.36,20.30704444,-1,-73,58,57.86,-73.98273889,,-2.2,352.4,5.535179499,O9.8 V,,,,,,73.98273889,124.6056667,,73.98273889,124.6056667
RS 1234-340-2-22-120,,,,21,31,3.83,21.51773056,-1,-75,54,44.82,-75.91245,,-2.4,555.73,6.32431921,O9.6 V,,,,,,75.91245,142.7659583,,75.91245,142.7659583
RS 1234-340-2-22-114,,,,21,16,5.44,21.26817778,-1,-70,33,57.18,-70.56588333,,-2.41,472.99,5.964259795,O9.6 V,,,,,,70.56588333,139.0226667,,70.56588333,139.0226667
RS 1234-340-1-2-76,,,,22,12,50.69,22.21408056,-1,-76,2,36.07,-76.04335278,,-4.63,784.43,4.842770973,O6.8 V,,,,,,76.04335278,153.2112083,,76.04335278,153.2112083
RS 1234-340-2-22-70,,,,22,39,53.95,22.66498611,-1,-73,39,19.61,-73.65544722,,-2.87,385.18,5.058318644,O9 V,,,,,,73.65544722,159.9747917,,73.65544722,159.9747917
RS 1234-340-1-2-74,,,,22,39,23.38,22.65649444,-1,-74,17,36.36,-74.29343333,,-3.5,677.9,5.65582817,O8.2 V,,,,,,74.29343333,159.8474167,,74.29343333,159.8474167
